OTL ID,Title,Copyright Year,Contributors,Publisher,Description,License,library URL,Subject 1,Subject 2,
4,Accounting in the Finance World,2016,,University of Minnesota Libraries Publishing,"This book is intended for an undergraduate or MBA level Financial Accounting course. It covers the standard topics in a standard sequence, utilizing the Socratic method of asking and answering questions.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/financial-accounting,Business - Accounting,Business,
5,A First Course in Linear Algebra,2015,Robert A. Beezer - Author,Robert Beezer,"A First Course in Linear Algebra is an introductory textbook aimed at college-level sophomores and juniors. Typically students will have taken calculus, but it is not a prerequisite. The book begins with systems of linear equations, then covers matrix algebra, before taking up finite-dimensional vector spaces in full generality. The final chapter covers matrix representations of linear transformations, through diagonalization, change of basis and Jordan canonical form. Determinants and eigenvalues are covered along the way. A unique feature of this book is that chapters, sections and theorems are labeled rather than numbered. For example, the chapter on vectors is labeled ""Chapter V"" and the theorem that elementary matrices are nonsingular is labeled ""Theorem EMN."" Another feature of this book is that it is designed to integrate SAGE, an open source alternative to mathematics software such as Matlab and Maple. The author includes a 45-minute video tutorial on SAGE and teaching linear algebra. This textbook has been used in classes at: Centre for Excellence in Basic Sciences, Westmont College, University of Ottawa, Plymouth State University, University of Puget Sound, University of Notre Dame, Carleton University, Amherst College, Felician College, Southern Connecticut State University, Michigan Technological University, Mount Saint Mary College, University of Western Australia, Moorpark College, Pacific University, Colorado State University, Smith College, Wilbur Wright College, Central Washington U (Lynwood Center), St. Cloud State University, Miramar College, Loyola Marymount University.",Free Documentation License (GNU),https://open.umn.edu/opentextbooks/textbooks/a-first-course-in-linear-algebra,Mathematics,Mathematics - Pure,
7,Book of Proof - Third Edition,2013,Richard Hammack - Author,Richard Hammack,"This is a book about how to prove theorems. Until this point in your education, you may have regarded mathematics primarily as a computational discipline. You have learned to solve equations, compute derivatives and integrals, multiply matrices and find determinants; and you have seen how these things can answer practical questions about the real world. In this setting, your primary goal in using mathematics has been to compute answers. But there is another approach to mathematics that is more theoretical than computational. In this approach, the primary goal is to understand mathematical structures, to prove mathematical statements, and even to invent or discover new mathematical theorems and theories. The mathematical techniques and procedures that you have learned and used up until now have their origins in this theoretical side of mathematics. For example, in computing the area under a curve, you use the fundamental theorem of calculus. It is because this theorem is true that your answer is correct. However, in your calculus class you were probably far more concerned with how that theorem could be applied than in understanding why it is true. But how do we know it is true? How can we convince ourselves or others of its validity? Questions of this nature belong to the theoretical realm of mathematics. This book is an introduction to that realm. This book will initiate you into an esoteric world. You will learn and apply the methods of thought that mathematicians use to verify theorems,explore mathematical truth and create new mathematical theories. This will prepare you for advanced mathematics courses, for you will be better able to understand proofs, write your own proofs and think critically and inquisitively about mathematics. This text has been used in classes at: Virginia Commonwealth University, Lebanon Valley College, University of California - San Diego, Colorado State University, Westminster College, South Dakota State University, PTEK College - Brunei, Christian Brothers High School, University of Texas Pan American, Schola Europaea, James Madison University, Heriot-Watt University, Prince of Songkla University, Queen Mary University of London, University of Nevada - Reno, University of Georgia - Athens, Saint Peter's University, California State University,Bogaziçi University, Pennsylvania State University, University of Notre Dame",Attribution-NoDerivs,https://open.umn.edu/opentextbooks/textbooks/book-of-proof,Mathematics - Pure,,
8,Communication for Business Success,2015,,University of Minnesota Libraries Publishing,"Business Communication for Success (BCS) provides a comprehensive, integrated approach to the study and application of written and oral business communication to serve both student and professor. This series features chapters with the following elements: Learning Objectives Introductory Exercises Clear expectations, relevant background, and important theories Practical, real-world examples Key Takeaways or quick internal summaries Key terms that are easily identified In-chapter assignments Postchapter assessments linked to objectives and skills acquisition Each chapter is self-contained, allowing for mix-and-match flexibility and custom or course-specific design. Each chapter focuses on clear objectives and skill demonstrations that can be easily linked to your syllabus and state or federal requirements. Supported by internal and external assessments, each chapter features time-saving and learning-enhancement support for instructors and students. BCS is designed to help students identify important information, reinforce for retention, and demonstrate mastery with a clear outcome product. The text has three content categories: Foundations Process and products Contexts The first three chapters form the core foundation for the study of oral and written business communication. The next sequence of chapters focus on the process of writing, then oral performance with an emphasis on results. The final sequence focuses on contexts where business communication occurs, from interpersonal to intercultural, from groups to leadership. In each of the process and product chapter sequences, the chapters follow a natural flow, from prewriting to revision, from preparation for a presentation to performance. Each sequence comes together in a concluding chapter that focuses on action—where we apply the skills and techniques of written or oral communication in business, from writing a letter to presenting a sales speech. These performances not only serve to reinforce real-world applications but also may serve as course assessments. This text has been used in classes at: Ohio University, Miami University – Oxford, Kent State University – Salem Campus, Cuyahoga Community College – West, University of Toledo, Cuyahoga Community College – District, Northern Arizona University, Gateway Community College, University of Arizona, Arizona Western College, Boise State University,Western Governors University, Doane College, Mcpherson College, University of Nebraska Med Center, Suny Fredonia, State University of New York Institute of Technology at Utica/Rome, Trinidad State Junior College, University of Delaware, Brenau University, Brewton-Parker College, Loras College, Kapiolani Community College, Muscatine Community College, Greenville College, University of Illinois – Chicago, Millikin University, Rockland Community College, Cornell University, National-Louis University – Lisle, St. Gregory's University, University of Southern Indiana, Missouri State University – W Plains, Bucks County Community College – Newton, Clarion University of Pennsylvania, Pulaski Technical College, Temple University, Dixie State College of Utah, Averett University, Virginia Polytech Institute, Fond Du Lac Tribal Community College, Lipscomb University, Edgewood College, University of Wisconsin – Stout, Wisconsin Lutheran College, Virginia State University, North Georgia Technical College – Blairsville, Paradise Valley Community College, Fordham University – Lincoln Center, New England College of Business/Finance, Eastern New Mexico University, University of Alabama, Albertus Magnus College, Pepperdine University, Fullerton College, Santa Ana College, Miracosta College – Oceanside, San Jose State University, De Anza College, University of The Southwest, Florida Institute of Technology, Forida State University, Dean College, California State University, University of Massachusetts, Suffolk University, Stevenson University, Worcester State College, University of Maryland, Clover Park Technical College, Minnesota State University – Moorhead, College of St. Scholastica, Ferris State University, Concordia University, Southern New Hampshire University, Lower Columbia College, University of North Carolina – Greensboro, Rockingham Community College, Stanly Community College, Wayland Baptist University, Bunker Hill Community College, Salve Regina University, University of The Incarnate Word, St. Mary's University, University of Rhode Island, Texarkana College, Renton Technical College, Tarleton State University, Wayland Baptist University – Plainview, University of Houston, Stephen F. Austin State University, Bates Technical College, Chabot College, Bakersfield College, Azusa Pacific University, University of Houston – Downtown, California Southern University, Miracosta College, American Public University, American Public University System, Huntington Junior College, Flat World Knowledge University, Jackson Senior High School, Holmes High School, Dlielc, Clintondale High School, American University in Kosovo in Conjunction with Rochester Institute of Technology, Southeast Lauderdale High School, Benedict Business Hotel Management School, University of the People, Kwame Nkrumah University of Science and Technology, New Brunswick College of Craft and Design, New England School of English, Comsats Institute of Information Technology, Wayland Baptist University – Anchorage, Volcano Vista High School, Wayland Baptist University – San Antonio, Morrill High School, North Island College – B Campus, Seneca College, APOU, University of North Carolina – Greensboro, Southern New Hampshire University, University of Maryland University College, Harrisburg High School",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/business-communication-for-success,Business,"Journalism, Media Studies & Communications - Organizational Communication",
9,College Success,2015,,University of Minnesota Libraries Publishing,"Our primary goal in writing College Success is to help you succeed in college. According to Department of Education data, 30 percent of college freshmen leave school in their first year and as many as 50 percent never graduate. College Success is designed to help change that. College Success has a student-friendly format arranged to help you develop the essential skills and provide the information you need to succeed in college. This is not a textbook full of theory and extensive detail that merely discusses student success; rather, this is a how-to manual for succeeding in college. The book provides realistic, practical guidance ranging from study skills to personal health, from test taking to managing time and money. Furthermore, College Success is accessible—information is presented concisely and as simply as possible. College Success has the following features to help you achieve your goals: Each chapter asks you to evaluate yourself because success starts with recognizing your strengths and weaknesses, your hopes and desires, and your own personal, individual realities. You'll develop your own goals based on these self-assessments, determining what success in college really means for you as an individual. Throughout the book, you will find numerous interactive activities created to help you improve your skills. To assist you with this, the material is presented in easily digestible “chunks” of information so you can begin applying it immediately in your own life—and get the most out of your college education.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/college-success,Student Success,,
10,Calculus - Third Edition,1991,Gilbert Strang - Author,Wellesley-Cambridge Press,"Published in 1991 by Wellesley-Cambridge Press, the book is a useful resource for educators and self-learners alike. It is well organized, covers single variable and multivariable calculus in depth, and is rich with applications. Prof. Strang has also developed a related series of videos, Highlights of Calculus, on the basic ideas of calculus.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/calculus,Mathematics,Mathematics - Pure,
11,Collaborative Statistics,2012,Barbara Illowsky - Author / Susan Dean - Author,OpenStax CNX,"Collaborative Statistics was written by Barbara Illowsky and Susan Dean, faculty members at De Anza Collegein Cupertino, California. The textbook was developed over several years and has been used in regularand honors-level classroom settings and in distance learning classes. Courses using this textbook have beenarticulated by the University of California for transfer of credit. The textbook contains full materials forcourse offerings, including expository text, examples, labs, homework, and projects. A Teacher's Guide iscurrently available in print form and on the Connexions site at and supplemental course materials including additional problem sets and video lectures are available. The on-line text for each of these collections collections willmeet the Section 508 standards for accessibility. An on-line course based on the textbook was also developed by Illowsky and Dean. It has won an awardas the best on-line California community college course. The on-line course will be available at a later dateas a collection in Connexions, and each lesson in the on-line course will be linked to the on-line textbookchapter. The on-line course will include, in addition to expository text and examples, videos of courselectures in captioned and non-captioned format. The original preface to the book as written by professors Illowsky and Dean, now follows: This book is intended for introductory statistics courses being taken by students at two– and four–yearcolleges who are majoring in fields other than math or engineering. Intermediate algebra is the only prerequisite.The book focuses on applications of statistical knowledge rather than the theory behind it. Thetext is named Collaborative Statistics because students learn best by doing. In fact, they learn best byworking in small groups. The old saying “two heads are better than one” truly applies here. Our emphasis in this text is on four main concepts: thinking statistically incorporating technology working collaboratively writing thoughtfully These concepts are integral to our course. Students learn the best by actively participating, not by justwatching and listening. Teaching should be highly interactive. Students need to be thoroughly engagedin the learning process in order to make sense of statistical concepts. Collaborative Statistics providestechniques for students to write across the curriculum, to collaborate with their peers, to think statistically,and to incorporate technology. This book takes students step by step. The text is interactive. Therefore, students can immediately applywhat they read. Once students have completed the process of problem solving, they can tackle interestingand challenging problems relevant to today's world. The problems require the students to apply theirnewly found skills. In addition, technology (TI-83 graphing calculators are highlighted) is incorporatedthroughout the text and the problems, as well as in the special group activities and projects. The book alsocontains labs that use real data and practices that lead students step by step through the problem solvingprocess. At De Anza, along with hundreds of other colleges across the country, the college audience involves alarge number of ESL students as well as students from many disciplines. The ESL students, as well asthe non-ESL students, have been especially appreciative of this text. They find it extremely readable andunderstandable. Collaborative Statistics has been used in classes that range from 20 to 120 students, and inregular, honor, and distance learning classes.",Attribution,https://open.umn.edu/opentextbooks/textbooks/collaborative-statistics,Mathematics,Mathematics - Applied,
12,College Algebra,2013,Carl Stitz - Author / Jeff Zeager - Author,Stitz Zeager Open Source Mathematics,"College Algebra is an introductory text for a college algebra survey course. The material is presented at a level intended to prepare students for Calculus while also giving them relevant mathematical skills that can be used in other classes. The authors describe their approach as ""Functions First,"" believing introducing functions first will help students understand new concepts more completely. Each section includes homework exercises, and the answers to most computational questions are included in the text (discussion questions are open-ended). Graphing calculators are used sparingly and only as a tool to enhance the Mathematics, not to replace it. The authors also offer a Precalculus version of this text, which has two extra chapters covering Trigonometry.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/college-algebra,Mathematics,Mathematics - Pure,
13,Elementary Algebra,2011,John Redden - Author,Saylor Foundation,"It is essential to lay a solid foundation in mathematics if a student is to be competitive in today's global market. The importance of algebra, in particular, cannot be overstated, as it is the basis of all mathematical modeling used in applications found in all disciplines. Traditionally, the study of algebra is separated into a two parts, elementary algebra and intermediate algebra. This textbook, Elementary Algebra, is the first part, written in a clear and concise manner, making no assumption of prior algebra experience. It carefully guides students from the basics to the more advanced techniques required to be successful in the next course. This text is, by far, the best elementary algebra textbook offered under a Creative Commons license. It is written in such a way as to maintain maximum flexibility and usability. A modular format was carefully integrated into the design. For example, certain topics, like functions, can be covered or omitted without compromising the overall flow of the text. An introduction of square roots in Chapter 1 is another example that allows for instructors wishing to include the quadratic formula early to do so. Topics such as these are carefully included to enhance the flexibility throughout. This textbook will effectively enable traditional or nontraditional approaches to elementary algebra. This, in addition to robust and diverse exercise sets, provides the base for an excellent individualized textbook instructors can use free of needless edition changes and excessive costs! A few other differences are highlighted below: Equivalent mathematical notation using standard text found on a keyboard A variety of applications and word problems included in most exercise sets Clearly enumerated steps found in context within carefully chosen examples Alternative methods and notation, modularly integrated, where appropriate Video examples available, in context, within the online version of the textbook Robust and diverse exercise sets with discussion board questions Key words and key takeaways summarizing each section This text employs an early-and-often approach to real-world applications, laying the foundation for students to translate problems described in words into mathematical equations. It also clearly lays out the steps required to build the skills needed to solve these equations and interpret the results. With robust and diverse exercise sets, students have the opportunity to solve plenty of practice problems. In addition to embedded video examples and other online learning resources, the importance of practice with pencil and paper is stressed. This text respects the traditional approaches to algebra pedagogy while enhancing it with the technology available today. In addition, textual notation is introduced as a means to communicate solutions electronically throughout the text. While it is important to obtain the skills to solve problems correctly, it is just as important to communicate those solutions with others effectively in the modern era of instant communications.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/elementary-algebra,Mathematics,Mathematics - Pure,
14,eMarketing: The Essential Guide to Marketing in a Digital World - 7th Edition,2022,Dionne Solomons - Author / Tania Kliphuis - Author / Michelle Wadley - Author,Red & Yellow,"Since our 10th Anniversary Edition of eMarketing: The Essential Guide to Marketing in a Digital World, we have witnessed a global wave of change that has had an undeniable impact on how we live, connect, and communicate worldwide. There is no doubt that the COVID-19 pandemic has, and will continue to have, a lasting effect on human reality. With this in mind, we are incredibly proud to present the 7th Edition of our textbook.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/emarketing-the-essential-guide-to-marketing-in-a-digital-world,Business - Marketing,,
